_isName,_gender,_animate,_frequency,_mainWord,_dependentVerbs,_dependenceOfVerb,_dependentNoun,_dependenceOfNoun,_dependentAdjective,_dependenceOfAdjective,class
0,1,1,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,2,0,0,0,0,0,0,0,'object'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,1,0,0,0,0,0,0,'something'
0,-1,0,2,0,0,0,0,0,0,0,'object'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,5,2,0,0,2,0,0,0,'person'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,1,0,0,1,0,0,0,'object'
0,-1,0,2,0,0,0,0,0,0,0,'object'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,2,0,0,0,0,0,0,0,'object'
0,0,0,2,0,0,0,0,0,0,0,'something'
0,-1,1,1,1,0,0,1,0,0,0,'person'
1,-1,1,2,0,0,0,0,0,0,0,'person'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,1,0,7,0,0,0,0,0,0,0,'object'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,3,0,0,0,0,0,0,0,'object'
0,-1,1,3,0,0,0,0,0,0,0,'person'
0,-1,1,1,1,0,0,1,0,0,0,'person'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,2,1,0,0,1,0,0,0,'object'
0,1,1,3,1,0,0,1,0,0,0,'person'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,1,0,0,1,0,0,0,'object'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,1,0,0,0,0,0,0,0,'something'
0,-1,1,7,5,0,0,2,0,0,0,'person'
0,1,1,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,2,0,0,0,0,0,0,0,'person'
1,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,6,0,0,0,0,0,0,0,'person'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,2,0,0,0,0,0,0,0,'something'
0,0,0,2,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,1,1,0,0,0,0,0,0,0,'something'
0,-1,1,2,1,0,0,0,0,0,0,'person'
0,1,1,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
1,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,2,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
1,1,1,1,1,0,0,1,0,0,0,'person'
0,-1,0,2,0,0,0,0,0,0,0,'object'
0,0,0,2,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,2,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,2,2,0,0,0,0,0,0,'person'
0,-1,0,2,0,0,0,0,0,0,0,'object'
0,-1,1,1,1,0,0,1,0,0,0,'person'
0,-1,1,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,1,1,0,0,0,0,0,0,0,'something'
0,0,1,1,0,0,0,0,0,0,0,'something'
0,0,1,5,4,0,0,3,0,0,0,'object'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,1,2,0,0,0,0,0,0,0,'person'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,1,0,0,1,0,0,0,'object'
0,0,0,2,1,0,0,1,0,1,0,'object'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,1,1,0,0,1,0,0,0,'person'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,1,2,0,0,0,0,0,0,0,'person'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,1,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,1,0,0,0,0,0,0,0,'something'
0,-1,1,2,0,0,0,0,0,0,0,'person'
1,-1,1,2,1,0,0,1,0,0,0,'person'
0,1,1,2,0,0,0,0,0,0,0,'person'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,1,0,0,0,0,0,0,0,'something'
1,-1,1,3,0,0,0,0,0,0,0,'person'
0,0,0,1,1,0,0,1,0,0,0,'object'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,1,0,0,1,0,0,0,'object'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,1,0,1,0,0,0,0,0,0,0,'something'
0,-1,1,1,0,0,0,0,0,0,0,'something'
0,-1,0,6,0,0,0,0,0,0,0,'object'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,2,0,0,0,0,0,0,0,'something'
1,-1,1,1,0,0,0,0,0,0,0,'person'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,-1,0,1,0,0,0,0,0,0,0,'something'
0,0,0,3,1,1,0,1,0,0,0,'object'
0,1,0,3,0,0,0,0,0,0,0,'object'
0,1,1,2,0,0,0,0,0,0,0,'person'
0,0,0,1,1,0,0,1,0,0,0,'object'
1,-1,1,3,0,0,0,0,0,0,0,'person'
0,1,1,2,2,0,0,2,0,0,0,'person'
0,1,0,5,0,0,0,0,0,0,0,'object'
1,1,1,2,0,0,0,0,0,0,0,'object'
0,-1,1,2,2,0,0,1,0,0,0,'person'
0,-1,0,2,0,0,0,0,0,0,0,'object'
0,1,0,1,1,0,0,1,0,0,0,'object'
0,1,0,5,0,0,0,0,0,0,0,'object'
1,1,1,1,0,0,0,0,0,0,0,'person'
0,1,1,2,0,0,0,0,0,0,0,'person'
0,1,0,6,0,0,0,0,0,0,0,'object'
1,1,1,1,0,0,0,0,0,0,0,'person'
1,1,1,1,0,0,0,0,0,0,0,'person'
0,1,1,2,2,0,0,0,0,0,0,'person'
0,1,1,3,3,0,0,3,0,0,0,'person'
1,1,1,1,0,0,0,0,0,0,0,'person'
0,-1,0,3,0,0,0,0,0,0,0,'object'
1,1,1,3,0,0,0,0,0,0,0,'person'
1,1,1,2,0,0,0,0,0,0,0,'person'
0,0,0,3,2,0,0,2,0,0,0,'person'
0,-1,1,1,1,0,0,1,0,0,0,'person'
1,-1,1,1,0,0,0,0,0,0,0,'person'
0,-1,0,1,1,0,0,1,0,0,0,'object'
0,1,1,3,0,0,0,0,0,0,0,'object'
0,0,0,2,1,0,0,1,0,0,0,'object'
0,1,1,3,0,0,0,0,0,0,0,'person'
0,1,0,2,0,0,0,0,0,0,0,'object'
1,1,1,2,0,0,0,0,0,0,0,'person'
0,1,0,3,0,0,0,0,0,0,0,'object'
1,1,1,1,0,0,0,0,0,0,0,'person'
0,1,0,7,0,0,0,0,0,0,0,'object'
0,1,1,1,1,0,0,1,0,0,0,'person'
0,1,0,2,0,0,0,0,0,0,0,'object'
1,-1,1,3,0,0,0,0,0,0,0,'person'
1,1,1,2,1,0,0,1,0,0,0,'person'
0,0,0,2,0,0,0,0,0,0,0,'object'
0,0,0,4,0,0,0,0,0,0,0,'object'
0,-1,1,2,0,0,0,0,0,0,0,'person'
0,1,0,2,0,0,0,0,0,0,0,'object'
0,-1,0,3,0,0,0,0,0,0,0,'object'
1,1,1,1,0,0,0,0,0,0,0,'person'
1,-1,1,1,1,0,0,1,0,0,0,'person'
1,1,1,1,0,0,0,0,0,0,0,'person'
0,1,0,1,1,0,0,1,0,0,0,'object'
1,-1,1,2,0,0,0,0,0,0,0,'person'
0,1,0,2,0,0,0,0,0,0,0,'object'
0,1,1,1,1,0,0,1,0,0,0,'object'
0,-1,1,2,0,0,0,0,0,0,0,'person'
0,-1,0,2,3,0,0,0,0,0,0,'object'
1,-1,1,1,0,0,0,0,0,0,0,'person'
0,-1,1,2,0,0,0,0,0,0,0,'person'
0,1,0,2,0,0,0,0,0,0,0,'object'
0,-1,0,2,0,0,0,0,0,0,0,'object'
0,1,0,2,1,1,0,1,0,0,0,'object'
1,-1,1,3,0,0,0,0,0,0,0,'object'
1,0,0,2,0,0,0,0,0,0,0,'person'
1,1,1,1,0,0,0,0,0,0,0,'person'
0,-1,1,1,1,0,0,0,0,0,0,'person'
0,-1,1,5,1,0,0,1,0,0,0,'person'
